0;18.3;0.0;1.0
1;11.1;0.0;1.0
2;15.1;0.0;1.0
3;3.0;0.0;1.0
4;2.0;0.0;1.0
5;2.0;0.0;1.0
6;3.0;0.0;1.0
7;1.0;0.0;1.0
8;12.5;0.0;1.0
9;8.5;0.0;1.0
10;2.0;0.0;1.0
11;1.0;0.0;1.0
12;1.0;0.0;1.0
13;13.2;0.0;1.0
14;1.0;0.0;1.0
15;1.0;0.0;1.0
16;1.0;0.0;1.0
17;1.0;0.0;1.0
18;1.0;0.0;1.0
19;11.8;0.0;1.0
20;1.0;0.0;1.0
21;1.0;0.0;1.0
22;1.0;0.0;1.0
23;5.0;0.0;1.0
24;3.0;0.0;1.0
25;5.0;0.0;1.0
26;1.0;0.0;1.0
27;9.0;0.0;1.0
28;8.4;0.0;1.0
29;2.0;0.0;1.0
30;7.0;0.0;1.0
31;13.5;0.0;1.0
32;14.0;0.0;1.0
33;15.4;0.0;1.0
